@RELATION GarciaMarquezTweets
@ATTRIBUTE Twitter-0 real
@ATTRIBUTE Twitter-1 real
@ATTRIBUTE Twitter-2 real
@ATTRIBUTE Twitter-3 real
@ATTRIBUTE Twitter-4 real
@ATTRIBUTE Twitter-5 real
@ATTRIBUTE Twitter-6 real
@ATTRIBUTE Twitter-7 real
@ATTRIBUTE Twitter-8 real
@ATTRIBUTE Twitter-9 real
@ATTRIBUTE Twitter-10 real
@ATTRIBUTE Twitter-11 real
@ATTRIBUTE Twitter-12 real
@ATTRIBUTE Twitter-13 real
@ATTRIBUTE Twitter-14 real
@ATTRIBUTE Twitter-15 real
@ATTRIBUTE Twitter-16 real
@ATTRIBUTE Twitter-17 real
@ATTRIBUTE Twitter-18 real
@ATTRIBUTE Twitter-19 real
@ATTRIBUTE Twitter-20 real
@ATTRIBUTE Twitter-21 real
@ATTRIBUTE Twitter-22 real
@ATTRIBUTE Twitter-23 real
@ATTRIBUTE Twitter-24 real
@ATTRIBUTE Twitter-25 real
@ATTRIBUTE Twitter-26 real
@ATTRIBUTE Twitter-27 real
@ATTRIBUTE Twitter-28 real
@ATTRIBUTE Twitter-29 real
@ATTRIBUTE Twitter-30 real
@ATTRIBUTE Twitter-31 real
@ATTRIBUTE Twitter-32 real
@ATTRIBUTE Twitter-33 real
@ATTRIBUTE Twitter-34 real
@ATTRIBUTE Twitter-35 real
@ATTRIBUTE Twitter-36 real
@ATTRIBUTE Twitter-37 real
@ATTRIBUTE Twitter-38 real
@ATTRIBUTE Twitter-39 real
@ATTRIBUTE Twitter-40 real
@ATTRIBUTE Twitter-41 real
@ATTRIBUTE Twitter-42 real
@ATTRIBUTE Twitter-43 real
@ATTRIBUTE Twitter-44 real
@ATTRIBUTE Twitter-45 real
@ATTRIBUTE Twitter-46 real
@ATTRIBUTE Twitter-47 real
@ATTRIBUTE Twitter-48 real
@ATTRIBUTE Twitter-49 real
@ATTRIBUTE Twitter-50 real
@ATTRIBUTE Twitter-51 real
@ATTRIBUTE Twitter-52 real
@ATTRIBUTE Twitter-53 real
@ATTRIBUTE Twitter-54 real
@ATTRIBUTE Twitter-55 real
@ATTRIBUTE Twitter-56 real
@ATTRIBUTE Twitter-57 real
@ATTRIBUTE Twitter-58 real
@ATTRIBUTE Twitter-59 real
@ATTRIBUTE Twitter-60 real
@ATTRIBUTE Twitter-61 real
@ATTRIBUTE Twitter-62 real
@ATTRIBUTE Twitter-63 real
@ATTRIBUTE Twitter-64 real
@ATTRIBUTE Twitter-65 real
@ATTRIBUTE Twitter-66 real
@ATTRIBUTE Twitter-67 real
@ATTRIBUTE Twitter-68 real
@ATTRIBUTE Twitter-69 real
@ATTRIBUTE Twitter-70 real
@ATTRIBUTE Twitter-71 real
@ATTRIBUTE Twitter-72 real
@ATTRIBUTE Twitter-73 real
@ATTRIBUTE Twitter-74 real
@ATTRIBUTE Twitter-75 real
@ATTRIBUTE Twitter-76 real
@ATTRIBUTE Twitter-77 real
@ATTRIBUTE Twitter-78 real
@ATTRIBUTE Twitter-79 real
@ATTRIBUTE Twitter-80 real
@ATTRIBUTE Twitter-81 real
@ATTRIBUTE Twitter-82 real
@ATTRIBUTE Twitter-83 real
@ATTRIBUTE Twitter-84 real
@ATTRIBUTE Twitter-85 real
@ATTRIBUTE Twitter-86 real
@ATTRIBUTE Twitter-87 real
@ATTRIBUTE Twitter-88 real
@ATTRIBUTE Twitter-89 real
@ATTRIBUTE Twitter-90 real
@ATTRIBUTE Twitter-91 real
@ATTRIBUTE Twitter-92 real
@ATTRIBUTE Twitter-93 real
@ATTRIBUTE Twitter-94 real
@ATTRIBUTE Twitter-95 real
@ATTRIBUTE Twitter-96 real
@ATTRIBUTE Twitter-97 real
@ATTRIBUTE Twitter-98 real
@ATTRIBUTE Twitter-99 real
@DATA
1.000,0.177,0.151,0.151,0.151,0.577,0.250,0.151,0.333,0.151,0.139,0.000,0.158,0.500,0.177,0.158,0.189,0.167,0.189,0.177,0.000,0.267,0.204,0.500,0.204,0.000,0.158,0.000,0.000,0.333,0.204,0.167,0.302,0.258,0.189,0.158,0.151,0.158,0.158,0.302,0.189,0.189,0.151,0.354,0.316,0.316,0.378,0.378,0.167,0.333,0.250,0.151,0.189,0.000,0.167,0.302,0.289,0.158,0.151,0.000,0.151,0.258,0.167,0.177,0.333,0.250,0.258,0.000,0.577,0.354,0.378,0.177,0.302,0.000,0.354,0.447,0.447,0.158,0.177,0.500,0.167,0.177,0.500,0.158,0.000,0.354,0.224,0.224,0.258,0.000,0.530,0.204,0.177,0.378,0.000,0.177,0.000,0.250,0.177,0.189
0.177,1.000,0.213,0.000,0.000,0.204,0.177,0.107,0.354,0.107,0.294,0.000,0.112,0.177,0.125,0.112,0.134,0.000,0.134,0.125,0.000,0.378,0.144,0.177,0.144,0.236,0.112,0.000,0.000,0.118,0.144,0.118,0.107,0.091,0.401,0.000,0.107,0.112,0.000,0.107,0.000,0.000,0.000,0.125,0.112,0.112,0.134,0.134,0.000,0.354,0.177,0.000,0.134,0.000,0.236,0.107,0.102,0.224,0.107,0.000,0.000,0.091,0.236,0.125,0.118,0.177,0.091,0.354,0.204,0.125,0.134,0.125,0.107,0.000,0.125,0.158,0.158,0.112,0.000,0.354,0.000,0.000,0.354,0.112,0.000,0.125,0.158,0.158,0.091,0.000,0.125,0.144,0.000,0.134,0.000,0.125,0.000,0.354,0.125,0.000
0.151,0.213,1.000,0.091,0.182,0.174,0.000,0.091,0.402,0.000,0.084,0.123,0.000,0.151,0.000,0.000,0.000,0.201,0.000,0.000,0.107,0.081,0.000,0.151,0.000,0.905,0.095,0.107,0.123,0.101,0.000,0.000,0.091,0.078,0.342,0.286,0.091,0.000,0.191,0.091,0.228,0.228,0.182,0.107,0.095,0.095,0.114,0.114,0.201,0.402,0.000,0.182,0.000,0.107,0.503,0.182,0.087,0.191,0.000,0.095,0.182,0.078,0.503,0.107,0.101,0.000,0.078,0.201,0.174,0.107,0.114,0.107,0.091,0.101,0.107,0.135,0.270,0.000,0.213,0.000,0.201,0.213,0.000,0.095,0.151,0.107,0.000,0.000,0.078,0.091,0.107,0.000,0.213,0.114,0.123,0.000,0.091,0.000,0.000,0.342
0.151,0.000,0.091,1.000,0.091,0.174,0.000,0.000,0.101,0.000,0.084,0.123,0.763,0.151,0.000,0.000,0.000,0.101,0.000,0.000,0.000,0.081,0.000,0.151,0.000,0.000,0.000,0.000,0.000,0.101,0.000,0.000,0.091,0.078,0.000,0.095,0.000,0.000,0.095,0.091,0.114,0.114,0.091,0.107,0.095,0.095,0.114,0.114,0.101,0.101,0.000,0.091,0.000,0.000,0.101,0.091,0.087,0.095,0.000,0.000,0.091,0.078,0.101,0.000,0.101,0.000,0.078,0.000,0.174,0.107,0.114,0.000,0.091,0.000,0.107,0.135,0.135,0.000,0.107,0.000,0.101,0.107,0.000,0.000,0.000,0.107,0.000,0.000,0.078,0.091,0.107,0.000,0.107,0.114,0.000,0.000,0.000,0.000,0.107,0.114
0.151,0.000,0.182,0.091,1.000,0.174,0.000,0.000,0.101,0.000,0.084,0.123,0.000,0.151,0.000,0.000,0.000,0.201,0.000,0.000,0.107,0.081,0.000,0.151,0.000,0.101,0.000,0.107,0.123,0.101,0.123,0.000,0.091,0.156,0.000,0.191,0.000,0.000,0.095,0.091,0.228,0.228,1.000,0.107,0.095,0.095,0.114,0.114,0.201,0.101,0.000,1.000,0.000,0.000,0.201,0.091,0.087,0.095,0.000,0.095,1.000,0.156,0.201,0.000,0.101,0.000,0.156,0.101,0.174,0.107,0.114,0.000,0.091,0.101,0.107,0.135,0.135,0.000,0.213,0.000,0.201,0.213,0.000,0.000,0.151,0.107,0.000,0.000,0.156,0.091,0.107,0.000,0.213,0.114,0.123,0.000,0.091,0.000,0.000,0.228
0.577,0.204,0.174,0.174,0.174,1.000,0.289,0.174,0.385,0.174,0.160,0.000,0.183,0.577,0.204,0.183,0.218,0.192,0.218,0.204,0.000,0.309,0.236,0.577,0.236,0.000,0.183,0.000,0.000,0.385,0.236,0.192,0.348,0.298,0.218,0.183,0.174,0.183,0.183,0.348,0.218,0.218,0.174,0.408,0.365,0.365,0.436,0.436,0.192,0.385,0.289,0.174,0.218,0.000,0.192,0.348,0.333,0.183,0.174,0.000,0.174,0.298,0.192,0.204,0.385,0.289,0.298,0.000,0.667,0.408,0.436,0.204,0.348,0.000,0.408,0.516,0.516,0.183,0.204,0.577,0.192,0.204,0.577,0.183,0.000,0.408,0.258,0.258,0.298,0.000,0.408,0.236,0.204,0.436,0.000,0.204,0.000,0.289,0.204,0.218
0.250,0.177,0.000,0.000,0.000,0.289,1.000,0.151,0.167,0.151,0.000,0.000,0.158,0.250,0.177,0.158,0.189,0.000,0.189,0.177,0.000,0.134,0.204,0.250,0.204,0.000,0.158,0.000,0.000,0.167,0.204,0.167,0.151,0.129,0.189,0.000,0.151,0.158,0.000,0.151,0.000,0.000,0.000,0.177,0.158,0.158,0.189,0.189,0.000,0.167,0.250,0.000,0.189,0.000,0.000,0.151,0.144,0.000,0.151,0.000,0.000,0.129,0.000,0.177,0.167,0.250,0.129,0.000,0.289,0.177,0.189,0.177,0.151,0.000,0.177,0.224,0.224,0.158,0.000,0.500,0.000,0.000,0.500,0.158,0.000,0.177,0.224,0.224,0.129,0.000,0.177,0.204,0.000,0.189,0.000,0.177,0.000,0.250,0.177,0.000
0.151,0.107,0.091,0.000,0.000,0.174,0.151,1.000,0.201,0.091,0.000,0.000,0.095,0.151,0.107,0.095,0.228,0.000,0.114,0.107,0.000,0.081,0.123,0.151,0.123,0.101,0.191,0.000,0.000,0.101,0.123,0.101,0.091,0.078,0.228,0.095,0.182,0.095,0.095,0.091,0.000,0.000,0.000,0.107,0.095,0.095,0.114,0.114,0.000,0.201,0.151,0.000,0.114,0.107,0.101,0.182,0.087,0.095,0.091,0.000,0.000,0.078,0.101,0.213,0.101,0.151,0.078,0.101,0.174,0.107,0.114,0.213,0.091,0.000,0.107,0.135,0.270,0.095,0.000,0.302,0.000,0.000,0.302,0.191,0.000,0.107,0.135,0.135,0.078,0.000,0.107,0.123,0.000,0.114,0.000,0.213,0.000,0.151,0.107,0.114
0.333,0.354,0.402,0.101,0.101,0.385,0.167,0.201,1.000,0.101,0.092,0.000,0.105,0.333,0.118,0.105,0.126,0.111,0.126,0.118,0.000,0.178,0.136,0.333,0.136,0.333,0.211,0.000,0.000,0.222,0.136,0.111,0.201,0.172,0.882,0.211,0.201,0.105,0.211,0.201,0.126,0.126,0.101,0.236,0.211,0.211,0.252,0.252,0.111,0.556,0.167,0.101,0.126,0.118,0.444,0.302,0.192,0.211,0.101,0.000,0.101,0.172,0.444,0.236,0.222,0.167,0.172,0.111,0.385,0.236,0.252,0.236,0.201,0.000,0.236,0.298,0.447,0.105,0.118,0.333,0.111,0.118,0.333,0.211,0.000,0.236,0.149,0.149,0.172,0.000,0.236,0.136,0.118,0.252,0.000,0.118,0.000,0.333,0.118,0.252
0.151,0.107,0.000,0.000,0.000,0.174,0.151,0.091,0.101,1.000,0.000,0.000,0.095,0.151,0.213,0.095,0.114,0.000,0.114,0.107,0.000,0.081,0.123,0.151,0.123,0.000,0.095,0.000,0.000,0.101,0.123,0.101,0.091,0.078,0.114,0.000,0.091,0.095,0.000,0.091,0.000,0.000,0.000,0.107,0.095,0.095,0.114,0.114,0.000,0.101,0.151,0.000,0.114,0.000,0.000,0.091,0.087,0.000,0.091,0.000,0.000,0.078,0.000,0.107,0.101,0.151,0.078,0.000,0.174,0.107,0.114,0.107,0.091,0.000,0.107,0.135,0.135,0.095,0.000,0.302,0.000,0.000,0.302,0.095,0.000,0.107,0.135,0.135,0.078,0.000,0.107,0.123,0.000,0.114,0.000,0.107,0.000,0.151,0.107,0.000
